sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count
2371,95398374,35660,53153,-1,1,0
2372,95438374,35572,52855,-1,1,0
2373,95478374,35462,52479,-1,1,0
2374,95518374,35429,52377,-1,1,0
2375,95558374,35441,52409,-1,1,0
2376,95598374,35474,52469,-1,1,0
2377,95638374,35505,52577,-1,1,0
2378,95678374,35510,52623,-1,1,0
2379,95718374,35504,52604,-1,1,0
2380,95758374,35495,52594,-1,1,0
2381,95798374,35500,52619,-1,1,0
2382,95838374,35515,52694,-1,1,0
2383,95878374,35531,52759,-1,1,0
2384,95918374,35544,52817,-1,1,0
2385,95958374,35551,52854,-1,1,0
2386,95998374,35566,52900,-1,1,0
2387,96038374,35593,52976,-1,1,0
2388,96078374,35575,52881,-1,1,0
2389,96118374,35483,52564,-1,1,0
2390,96158374,35441,52439,-1,1,0
2391,96198374,35469,52498,-1,1,0
2392,96238374,35486,52552,-1,1,0
2393,96278374,35505,52625,-1,1,0
2394,96318374,35546,52723,-1,1,0
2395,96358374,35543,52746,-1,1,0
2396,96398374,35536,52732,-1,1,0
2397,96438374,35552,52775,-1,1,0
2398,96478374,35588,52898,-1,1,0
2399,96518374,35625,53024,-1,1,0
2400,96558374,35653,53114,-1,1,0
2401,96598374,35677,53182,-1,1,0
2402,96638374,35688,53214,-1,1,0
2403,96678374,35697,53273,-1,1,0
2404,96718374,35719,53327,-1,1,0
2405,96758374,35708,53220,-1,1,0
2406,96798374,35614,52909,-1,1,0
2407,96838374,35592,52850,-1,1,0
